id,language,policy_excerpt,overall_compliance,overall_score,gap_count,domains_covered,GAP_PP_001,GAP_PP_002,GAP_PP_003,GAP_PP_004,GAP_PP_005,GAP_PP_006,GAP_PP_007,GAP_PP_008,GAP_RA_001,GAP_RA_002,GAP_RA_003,GAP_RA_004,GAP_RA_005,GAP_RA_006,GAP_RA_007,GAP_RA_008
pp_clean_en_1_20260306185850,en,"## 4.0 Authentication and Access Control

### 4.1 Password Policy

#### 4.1.1 Password Complexity
User passwords for all corporate systems must adhere to the following minimum complexity requirements:
*   Minimum length of twelve (12) characters.
*   Contain characters from at least three (3) of the following four (4) categories: uppercase letters (A-Z), lowercase letters (a-z), digits (0-9), and special characters (e.g., !, @, #, $).
*   Must not contain personal information (e.g., name, birthdate) or easily guessable dictionary words.

#### 4.1.2 Password Lifecycle
*   User passwords are required to be changed at least every ninety (90) days.
*   A minimum of the last twelve (12) unique passwords must be prevented from reuse.

#### 4.1.3 Account Lockout
*   User accounts will be automatically locked after five (5) consecutive failed login attempts.
*   Locked accounts will remain inaccessible for a period of thirty (30) minutes before automatic unlock.

### 4.2 Multi-Factor Authentication (MFA)
Multi-Factor Authentication (MFA) is mandatory for all remote access connections, access to privileged accounts, and access to administrative systems. Approved MFA methods include FIDO2 security keys, Time-based One-Time Passwords (TOTP), and biometric authentication.

### 4.3 Privileged Access Management (PAM)
Access to privileged accounts will be managed through a dedicated Privileged Access Management (PAM) solution. This includes Just-in-Time (JIT) access provisioning, session recording for audit purposes, and adherence to the principle of least privilege. All administrative activities must be performed using separate, non-privileged accounts. PAM configurations and access logs will undergo quarterly reviews.

### 4.4 Password Storage and Transmission
All passwords stored by company systems must be cryptographically hashed using industry-standard, slow-hashing algorithms (e.g., Argon2, bcrypt, or scrypt) with a unique salt per password. Passwords must never be stored in plaintext. Transmission of authentication credentials must occur exclusively over secure, encrypted channels utilizing TLS 1.2 or higher.

## 5.0 Roles and Responsibilities

### 5.1 Chief Information Security Officer (CISO)
Responsible for the overall approval, governance, and enforcement of this policy.

### 5.2 IT Security Department
Responsible for implementing, monitoring, and maintaining systems and controls that enforce password policies and MFA requirements.

### 5.3 Human Resources (HR)
Responsible for communicating password policy requirements during employee onboarding and offboarding.

### 5.4 All Employees
Required to understand and comply with all aspects of this password policy.

## 6.0 Policy Review
This policy shall be reviewed by the CISO at least quarterly to ensure its continued effectiveness, address emerging threats, and incorporate relevant regulatory updates.",compliant,1.0,0,password_policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pp_clean_en_2_20260306185922,en,"**2.0 Password Requirements**

**2.1 Password Construction and Complexity**
All user passwords must meet the following minimum complexity requirements:
a.  A minimum length of twelve (12) characters.
b.  Contain characters from at least three (3) of the four (4) categories: uppercase letters, lowercase letters, numbers, and special characters (!@#$%^&*()_+{}|:<>?-=[]\;',./).
c.  Must not contain personal information (e.g., name, birthdate) or dictionary words.

**2.2 Password Expiration and History**
Passwords for all user accounts shall expire every ninety (90) days. Users are prohibited from reusing any of their previous twelve (12) passwords.

**2.3 Account Lockout**
User accounts will be automatically locked after five (5) consecutive failed login attempts. The lockout duration will be thirty (30) minutes, after which users may attempt to log in again.

**3.0 Multi-Factor Authentication (MFA)**
MFA is mandatory for all remote access, privileged accounts, and administrative systems. Approved MFA methods include FIDO2 security keys, Time-based One-Time Passwords (TOTP) from approved applications, and biometrics where supported.

**4.0 Privileged Access Management (PAM)**
Access to privileged accounts shall be managed via the company’s Privileged Access Management (PAM) solution, ensuring Just-In-Time (JIT) access, session recording, and the principle of least privilege. Separate, non-administrative accounts must be used for daily activities. IT Security will conduct a quarterly review of all privileged accounts.

**5.0 Password Storage and Transmission**
User passwords must never be stored in plaintext. All stored passwords shall be cryptographically hashed using industry-standard algorithms (Argon2, bcrypt, or scrypt) with an appropriate salt. Password transmission over networks must utilize secure protocols, specifically TLS 1.2 or higher.

**6.0 Roles and Responsibilities**
*   **CISO:** Policy ownership, approval, and oversight.
*   **IT Security:** Technical control implementation, incident response, and quarterly privileged account reviews.
*   **HR:** Employee onboarding/offboarding account procedures.
*   **All Employees:** Adherence to this policy, safeguarding credentials, and reporting suspicious activity.

**7.0 Policy Review**
This policy section will be reviewed quarterly by the CISO and IT Security to assess effectiveness, address emerging threats, and incorporate regulatory updates.",compliant,1.0,0,password_policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pp_clean_ar_1_20260306185959,ar,"**2.0 سياسة كلمات المرور والمصادقة**

**2.1 متطلبات تعقيد كلمات المرور**
يجب أن تفي جميع كلمات المرور المستخدمة عبر أنظمة المؤسسة بالمعايير التالية لضمان قوة كافية ضد التخمين والهجمات:
*   الحد الأدنى 12 حرفاً.
*   احتواء ما لا يقل عن ثلاثة أنواع من أصل أربعة أنواع من الأحرف المتاحة (أحرف كبيرة، أحرف صغيرة، أرقام، أحرف خاصة).
*   عدم احتواء معلومات شخصية يمكن ربطها بالمستخدم (مثل الاسم، تاريخ الميلاد، أو أرقام الهوية).
*   عدم استخدام كلمات قاموسية شائعة أو تسلسلات أحرف وأرقام سهلة التخمين.

**2.2 انتهاء صلاحية كلمات المرور وسجلها**
*   يجب تغيير كلمات المرور بحد أقصى كل 90 يوماً.
*   يمنع منعاً باتاً على المستخدمين إعادة استخدام أي من آخر 12 كلمة مرور تم تعيينها لحساباتهم.

**2.3 قفل الحساب**
للحماية من محاولات الوصول غير المصرح بها عبر التخمين العشوائي، سيتم قفل الحسابات تلقائياً بعد 5 محاولات تسجيل دخول فاشلة متتالية. تستمر فترة القفل لمدة 30 دقيقة، وبعدها يمكن للمستخدم إعادة المحاولة.

**2.4 المصادقة متعددة العوامل (MFA)**
المصادقة متعددة العوامل إلزامية لجميع عمليات الوصول عن بُعد إلى شبكة وأنظمة المؤسسة، ولجميع الحسابات ذات الامتيازات، وللوصول إلى أنظمة الإدارة والبنية التحتية الحرجة. تشمل طرق MFA المعتمدة: FIDO2، TOTP، والقياسات الحيوية.

**2.5 إدارة الوصول المميز (PAM)**
تطبق المؤسسة حلول إدارة الوصول المميز (PAM) لجميع الحسابات ذات الامتيازات العالية، مع الالتزام بمبدأ ""أقل الامتيازات"" و""الوصول في الوقت المناسب (JIT)"". يجب تسجيل جلسات الوصول المميز للمراجعة. يتم استخدام حسابات إدارية منفصلة ومخصصة للحصول على الامتيازات. سيتم مراجعة جميع وصولات PAM ربع سنوياً.

**2.6 تخزين ونقل كلمات المرور**
يجب تخزين كلمات المرور بطريقة مجزأة (hashed) باستخدام خوارزميات تشفير قوية ومعترف بها مثل Argon2 أو bcrypt أو scrypt، مع إضافة ""salt"" فريد وعشوائي لكل كلمة مرور. يجب أن يتم نقل كلمات المرور عبر قنوات آمنة مشفرة باستخدام TLS 1.2 أو أعلى. يمنع منعاً باتاً تخزين كلمات المرور بنص واضح أو في أي تنسيق غير مشفر.

**2.7 الأدوار والمسؤوليات**
*   **رئيس أمن المعلومات (CISO):** يمتلك ويوافق ويشرف على تنفيذ هذه السياسة بشكل عام.
*   **فريق أمن تكنولوجيا المعلومات:** مسؤول عن التنفيذ الفني ومراقبة الامتثال والتحكم في عناصر السياسة.
*   **الموارد البشرية:** مسؤولة عن إيصال السياسة للموظفين واتخاذ الإجراءات التأديبية اللازمة في حالة عدم الامتثال.
*   **جميع الموظفين:** مسؤولون عن الالتزام الصارم بهذه السياسة والإبلاغ الفوري عن أي أنشطة مشبوهة تتعلق بكلمات المرور أو الحسابات.

**2.8 مراجعة السياسة**
يتم مراجعة هذه السياسة ربع سنوياً بواسطة رئيس أمن المعلومات (CISO) لتقييم فعاليتها، ودمج التهديدات الناشئة، وتحديثها لتتوافق مع المتطلبات التنظيمية والقانونية الجديدة.",compliant,1.0,0,password_policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pp_clean_ar_2_20260306190035,ar,"**5.0 سياسة كلمات المرور**

تحدد هذه السياسة المتطلبات الدنيا لإنشاء كلمات مرور قوية، وإدارتها، وحمايتها داخل شركة [اسم الشركة]، وهي شركة لوجستية عالمية، لضمان سرية وسلامة أنظمة وبيانات الشركة عبر جميع عملياتها وفروعها الدولية.

**5.1 متطلبات تعقيد كلمات المرور**
يجب أن تكون كلمات المرور قوية بما يكفي لمقاومة التخمين وهجمات القوة الغاشمة. يجب أن تتكون جميع كلمات المرور من 12 حرفًا على الأقل، وأن تتضمن ثلاثة على الأقل من الفئات الأربع التالية: أحرف كبيرة (A-Z)، أحرف صغيرة (a-z)، أرقام (0-9)، ورموز خاصة (!@#$). يحظر استخدام المعلومات الشخصية المعروفة (مثل اسم المستخدم، اسم الشركة، تاريخ الميلاد) أو كلمات القاموس.

**5.2 دورة حياة كلمات المرور والانتهاء**
يجب على المستخدمين تغيير كلمات مرورهم بحد أقصى كل 90 يومًا. لتعزيز الأمن ومنع إعادة الاستخدام، يجب ألا تكون كلمة المرور الجديدة واحدة من آخر 12 كلمة مرور تم استخدامها بواسطة المستخدم.

**5.3 قفل الحساب**
للحماية من محاولات التخمين غير المصرح بها، سيتم قفل حساب المستخدم تلقائيًا بعد 5 محاولات فاشلة لتسجيل الدخول. سيبقى الحساب مقفلاً لمدة 30 دقيقة، وبعدها يمكن للمستخدم المحاولة مرة أخرى أو الاتصال بدعم تكنولوجيا المعلومات لإلغاء القفل يدويًا.

**5.4 المصادقة متعددة العوامل (MFA)**
المصادقة متعددة العوامل إلزامية لجميع عمليات الوصول عن بُعد، والحسابات المميزة، وجميع أنظمة الإدارة. تشمل طرق المصادقة متعددة العوامل (MFA) المعتمدة: مفاتيح الأمان المتوافقة مع FIDO2، ورموز TOTP (كلمة المرور لمرة واحدة المستندة إلى الوقت)، والقياسات الحيوية المعتمدة.

**5.5 إدارة الوصول المميز (PAM)**
تستخدم الشركة حلاً لإدارة الوصول المميز (PAM) لتوفير وصول في الوقت المناسب (JIT) إلى الأنظمة والموارد الحساسة. يجب تسجيل جميع جلسات الوصول المميز للمراجعة والتدقيق. يتم فرض مبدأ الحد الأدنى من الامتيازات لجميع حسابات المستخدمين. يجب استخدام حسابات إدارية منفصلة تمامًا وغير مرتبطة بحسابات المستخدم العادية. يتم إجراء مراجعة ربع سنوية لجميع امتيازات الوصول لضمان الدقة والأمان المستمر.

**5.6 تخزين ونقل كلمات المرور**
يجب تخزين جميع كلمات المرور مجزأة (hashed) باستخدام خوارزميات تشفير قوية ومعروفة مثل Argon2 أو bcrypt أو scrypt مع الملح (salt) لضمان عدم إمكانية إعادة بنائها. يجب أن يتم نقل كلمات المرور عبر الشبكات الداخلية والخارجية حصريًا عبر اتصالات مشفرة باستخدام بروتوكول TLS 1.2 أو إصدارات أحدث. يُمنع منعًا باتًا تخزين كلمات المرور كنصوص واضحة في أي نظام أو وثيقة.

**5.7 الأدوار والمسؤوليات**
*   **كبير مسؤولي أمن المعلومات (CISO):** مسؤول عن الإشراف الشامل على تطوير هذه السياسة، وتنفيذها، وامتثالها، وضمان توافقها مع المعايير الدولية واللوائح المحلية.
*   **أمن تكنولوجيا المعلومات:** مسؤول عن تنفيذ الضوابط الفنية المحددة في هذه السياسة، ومراقبة الالتزام بها، وصيانة الأنظمة التي تدعم أمن كلمات المرور.
*   **الموارد البشرية:** مسؤولة عن دمج متطلبات السياسة في برامج توعية الموظفين الجدد والتدريب المستمر، وتطبيق الإجراءات التأديبية في حالات عدم الامتثال.
*   **الموظفون:** مسؤولون عن فهم هذه السياسة والالتزام الصارم بجميع متطلباتها، وحماية بيانات الاعتماد الخاصة بهم من الوصول غير المصرح به.

**5.8 مراجعة السياسة وتحديثها**
يتم مراجعة هذه السياسة ربع سنويًا من قبل كبير مسؤولي أمن المعلومات (CISO) بالتشاور مع فريق أمن تكنولوجيا المعلومات. ستغطي المراجعات فعالية السياسة الحالية، والتهديدات الأمنية الناشئة، والتحديثات التنظيمية (مثل اللائحة العامة لحماية البيانات)، وأفضل الممارسات الصناعية لضمان استمرار ملاءمة السياسة وقوتها.",compliant,1.0,0,password_policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ra_clean_en_1_20260306190107,en,"**3.0 Information Security Risk Management**

**3.1 Risk Assessment Methodology**
XYZ Financial maintains a formal, documented Information Security Risk Assessment Methodology (ISRAM v3.1), approved by the Chief Information Security Officer (CISO) and the Risk Management Committee. This methodology integrates both qualitative and quantitative approaches to systematically evaluate information security risks. It ensures consistent risk identification, analysis, and treatment across the organization.

**3.2 Risk Identification and Analysis**
The ISRAM outlines documented procedures for:
a. **Asset Identification and Valuation:** Cataloging and assigning criticality levels to all information assets.
b. **Threat Identification:** Recognizing potential adverse events through threat modeling exercises and industry intelligence.
c. **Vulnerability Identification:** Discovering weaknesses via regular vulnerability scanning, penetration testing, and architectural reviews.
Risk analysis utilizes a defined 5-point scale for Likelihood (1-Very Low to 5-Very High) and Impact (1-Negligible to 5-Catastrophic). Combined scores are mapped against a Risk Matrix to determine inherent risk levels (Low, Moderate, High, Critical).

**3.3 Risk Treatment**
Identified risks are evaluated for treatment based on cost-benefit analysis and strategic alignment. Four primary treatment options are available: Accept, Mitigate, Transfer, or Avoid. Selection criteria are documented, and all chosen treatments require a formal Risk Treatment Plan, including control implementation details, responsible owners, and target completion dates.

**3.4 Mandatory Risk Assessment Triggers**
Information Security Risk Assessments are mandatory and must be initiated under the following circumstances:
a. During the early stages of all new technology projects.
b. Prior to any major infrastructure changes or significant system upgrades.
c. During the planning and onboarding phases for new third-party service providers.
d. Before the release or launch of any new financial products or services.

**3.5 Risk Register**
All identified risks, their assessment details, and treatment plans are recorded in the central Information Security Risk Register. Each entry must include a unique Risk ID, detailed description, designated Risk Owner, assessed Likelihood, Impact, composite Risk Score, chosen Treatment Option, current Status, and scheduled Review Date.

**3.6 Review and Integration**
Information security risks and the effectiveness of their controls are formally reviewed by the CISO and relevant stakeholders at least annually, or immediately following significant changes in the regulatory landscape. Risk assessment activities are fully integrated into XYZ Financial's Project Management Lifecycle (at initiation, planning, and go-live gates) and are a foundational component of the Business Continuity Management (BCM) program.",compliant,1.0,0,risk_assessment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ra_clean_en_2_20260306190139,en,"**5.0 Information Risk Assessment**

**5.1 Methodology and Scope**
The Agency mandates a formal, documented Information Risk Management Methodology, approved by the Chief Information Security Officer (CISO), which incorporates both qualitative and quantitative approaches. This methodology provides detailed procedures for identifying and valuing information assets, identifying relevant threats (e.g., cyber-attacks, insider threats, natural disasters), and identifying system vulnerabilities across all Agency information systems, processes, and data.

**5.2 Risk Analysis and Scoring**
Risk analysis shall utilize a defined 5-point scale for likelihood (1: Very Low to 5: Very High) and a 5-point scale for impact (1: Negligible to 5: Catastrophic). A standardized risk matrix maps combined likelihood and impact scores to overall risk levels (Low, Moderate, High, Critical), guiding prioritization.

**5.3 Risk Treatment**
Following assessment, identified risks shall be addressed via one of four treatment options: Accept, Mitigate, Transfer, or Avoid. Selection of a treatment option must be based on a comprehensive cost-benefit analysis, alignment with strategic objectives, and adherence to regulatory compliance requirements. All non-accepted risks necessitate documented treatment plans, outlining controls, responsibilities, and timelines.

**5.4 Mandatory Assessment Triggers**
Risk assessments are mandatory at critical junctures, including but not limited to: the early-stage initiation of new technology projects, before any major infrastructure changes, during third-party vendor or partner onboarding processes, and prior to the official release of new services or applications.

**5.5 Risk Register Requirements**
All identified risks shall be documented and maintained in a central Risk Register. Each entry must include a unique Risk ID, clear description, designated Risk Owner, assessed likelihood, impact, composite risk score, selected treatment option, current status, and scheduled review date.

**5.6 Review and Integration**
Risk assessments and the Risk Register shall be reviewed annually as a minimum. Reviews are also triggered by significant regulatory changes, shifts in the global threat landscape, or major organizational restructuring. The CISO, supported by the Risk Management Committee, holds ultimate authority for risk review and acceptance. Furthermore, risk assessments are integrated into key project management gates (Initiation, Planning, and Go-Live phases) and are a foundational element of the Agency’s Business Continuity Management (BCM) framework.",compliant,1.0,0,risk_assessment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ra_clean_ar_1_20260306190215,ar,"**4.0 تقييم المخاطر السيبرانية**

**4.1 الغرض**
يهدف هذا القسم إلى تحديد إطار عمل شامل لتقييم المخاطر السيبرانية داخل [اسم الشركة]، لضمان تحديد المخاطر المحتملة التي تهدد أصول المعلومات لدينا، وتقييمها، ومعالجتها بفعالية. يضمن هذا الإطار اتخاذ قرارات مستنيرة لحماية أنظمتنا وبياناتنا وعملياتنا.

**4.2 المنهجية**
تتبنى [اسم الشركة] منهجية رسمية موثقة لتقييم المخاطر السيبرانية، معتمدة من الإدارة العليا، تدمج كلاً من الأساليب النوعية والكمية لضمان فهم شامل للمخاطر. تتضمن هذه المنهجية إجراءات موثقة لتحديد وتقييم الأصول الرقمية، وتحديد التهديدات المحتملة، وتحديد الثغرات الأمنية الموجودة ضمن أنظمتنا وبيئاتنا.

**4.3 إجراءات التقييم**
يتم قياس المخاطر باستخدام مقياس من خمس نقاط للاحتمالية (1: نادرة جدًا، 5: وشيكة) ومقياس من خمس نقاط للتأثير (1: ضئيل، 5: كارثي)، ويتم استخدام مصفوفة مخاطر محددة مسبقًا لربط النتائج المجمعة بمستويات مخاطر واضحة (منخفض، متوسط، مرتفع، حرج). يجب إجراء تقييمات المخاطر بشكل إلزامي في المراحل المبكرة لمشاريع التكنولوجيا الجديدة، وقبل أي تغييرات رئيسية في البنية التحتية، وأثناء تخطيط الارتباطات مع الأطراف الثالثة، وقبل إطلاق أي خدمات أو منتجات جديدة.

**4.4 معالجة المخاطر**
بعد التقييم، يتم تحديد خيارات معالجة المخاطر المناسبة من بين: القبول، التخفيف، النقل، أو التجنب، بناءً على معايير اختيار واضحة وموثقة. يجب توثيق خطط المعالجة التفصيلية لكل خطر، مع تحديد الإجراءات والمسؤوليات والجداول الزمنية.

**4.5 سجل المخاطر والمراجعة**
يتم الاحتفاظ بسجل مخاطر مركزي يتضمن لكل خطر: معرف فريد، وصف مفصل، المالك المسؤول، درجة الاحتمالية والتأثير الكامنين، درجة المخاطر الإجمالية، خيار المعالجة المختار، حالة الخطر الحالية، وتاريخ المراجعة التالي. تتم مراجعة سجل المخاطر بشكل دوري، بحد أدنى مرة واحدة سنويًا، أو فور",compliant,1.0,0,risk_assessment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ra_clean_ar_2_20260306190248,ar,"**4.0 تقييم المخاطر**

**4.1 الهدف**
يهدف هذا القسم إلى تحديد المتطلبات المعيارية لتقييم المخاطر الأمنية السيبرانية في [اسم المنظمة]، لضمان الحماية الفعالة لأصول المعلومات الصحية الحساسة، والحفاظ على استمرارية العمليات، والامتثال للمتطلبات التنظيمية المعمول بها.

**4.2 المنهجية والإجراءات**
تلتزم [اسم المنظمة] بتطبيق منهجية رسمية لتقييم المخاطر، موثقة ومعتمدة من الإدارة العليا. تتضمن هذه المنهجية منهجيات نوعية وكمية لتقييم المخاطر وتصنيفها بدقة. تشمل الإجراءات الموثقة ضمن المنهجية ما يلي:
*   تحديد وتقييم الأصول: تحديد جميع أصول المعلومات وتقييم قيمتها وحساسيتها للمنظمة.
*   تحديد التهديدات: تحديد جميع التهديدات المحتملة التي قد تؤثر على أصول المعلومات.
*   تحديد نقاط الضعف: تحديد نقاط الضعف في الأنظمة والعمليات والبنية التحتية.
*   تقييم الاحتمالية والتأثير: يتم تقييم احتمال وقوع حادث أمني وتأثيره المحتمل باستخدام مقياس من 5 نقاط لكل منهما (1=منخفض جداً، 5=مرتفع جداً). يتم دمج هذه الدرجات في مصفوفة مخاطر لتحديد مستوى المخاطر الإجمالي (منخفض، متوسط، مرتفع، حرج).

**4.3 معالجة المخاطر**
بعد تقييم المخاطر، يجب اختيار خيارات المعالجة المناسبة بناءً على معايير محددة مسبقاً. تشمل خيارات المعالجة المعتمدة ما يلي:
*   القبول (Accept): قبول المخاطر المتبقية التي تقل عن عتبة المخاطر المحددة.
*   التخفيف (Mitigate): تطبيق ضوابط لتقليل الاحتمالية أو التأثير إلى مستوى مقبول.
*   النقل (Transfer): نقل المخاطر إلى طرف ثالث (مثل التأمين).
*   التجنب (Avoid): القضاء على النشاط الذي يولد المخاطر.
يجب توثيق خطط المعالجة التفصيلية لكل مخاطرة تم تحديدها.

**4.4 محفزات تقييم المخاطر الإلزامية**
يجب إجراء تقييمات للمخاطر بشكل إلزامي في الحالات التالية:
*   في المراحل المبكرة لمشاريع التكنولوجيا الجديدة.
*   قبل إجراء تغييرات رئيسية في البنية التحتية لتكنولوجيا المعلومات.
*   أثناء تخطيط وإدارة علاقات الطرف الثالث.
*   قبل إصدار خدمات أو تطبيقات جديدة.

**4.5 سجل المخاطر**
يجب صيانة سجل مركزي للمخاطر (Risk Register) لتوثيق جميع المخاطر المحددة. يجب أن يتضمن سجل المخاطر على الأقل المعرف الفريد للمخاطرة (Risk ID)، وصف المخاطرة، مالك المخاطرة، الاحتمالية، التأثير، درجة المخاطرة، خيار المعالجة المختار، حالة المخاطرة، وتاريخ المراجعة.

**4.6 المراجعة والتكامل**
تتم مراجعة تقييمات المخاطر وسجل المخاطر بشكل دوري، بحد أدنى مرة واحدة سنوياً، أو عند حدوث تغييرات تنظيمية أو قانونية. يتولى مسؤول أمن المعلومات (CISO) ولجنة إدارة المخاطر مسؤولية مراجعة واعتماد تقييمات المخاطر. يتم دمج متطلبات تقييم المخاطر في بوابات إدارة المشاريع (البدء، التخطيط، الانطلاق) وفي عملية إدارة استمرارية الأعمال (BCM).",non_compliant,0.51,8,risk_assessment,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
mixed_clean_en_1_20260306190321,en,"### 4.0 User Authentication and Access Control

**4.1 Password Complexity and Expiration**
User passwords for Agency systems must be at least 12 characters long, include characters from at least three of the four defined categories (uppercase letters, lowercase letters, digits, special characters), and must not contain personal information or dictionary words. Passwords shall expire every 90 days maximum, and the last 12 unique passwords cannot be reused. Accounts will automatically lock after 5 consecutive failed login attempts for a duration of 30 minutes.

**4.2 Multi-Factor Authentication (MFA) and Privileged Access**
Multi-Factor Authentication (MFA) is mandatory for all remote access to Agency networks, privileged accounts, and administrative systems. Approved MFA methods include FIDO2 security keys, Time-based One-Time Password (TOTP) tokens, or Agency-approved biometrics. Privileged access is managed via a dedicated Privileged Access Management (PAM) solution, ensuring Just-in-Time (JIT) access, session recording, and adherence to the principle of least privilege through separate administrative accounts. PAM configurations and access policies are reviewed quarterly by IT Security.

**4.3 Password Storage and Transmission**
Passwords must be stored using strong, salted cryptographic hashing algorithms (e.g., Argon2, bcrypt, scrypt) and never in plaintext. Transmission of authentication credentials must occur exclusively over secure, encrypted channels utilizing TLS 1.2 or higher.

**4.4 Roles and Responsibilities for User Authentication**
The Chief Information Security Officer (CISO) is responsible for the quarterly review of this policy, assessing its effectiveness against emerging threats and regulatory updates. IT Security enforces the technical controls, HR assists with personnel compliance regarding acceptable use, and all Agency employees are responsible for adhering strictly to these authentication requirements.

### 5.0 Risk Management Framework

**5.1 Risk Methodology and Identification**
The Agency employs a formal, documented risk methodology, approved by senior management, which integrates both qualitative and quantitative assessment approaches. Documented procedures exist for comprehensive asset identification and valuation, threat identification, and vulnerability discovery across all Agency systems and operations.

**5.2 Risk Assessment Process and Treatment**
Risks are assessed using a defined 5-point scale for likelihood and a corresponding 5-point scale for impact. A standardized risk matrix maps combined scores to determine overall risk levels (e.g., Low, Moderate, High, Critical). Four primary risk treatment options are available: Accept, Mitigate, Transfer, or Avoid, each with clear selection criteria and requiring documented treatment plans. A comprehensive risk register maintains detailed records for each identified risk, including a unique risk ID, description, owner, likelihood, impact, score, chosen treatment, current status, and next review date.

**5.3 Mandatory Triggers and Integration**
Mandatory risk assessments are conducted during early-stage technology projects, prior to major infrastructure changes, during third-party service planning, and before new service releases. Risk assessment is tightly integrated into project management gates (initiation, planning, and go-live phases) and the Agency’s Business Continuity Management (BCM) program. This policy and the risk register undergo an annual review by the CISO, or as triggered by significant regulatory changes.",compliant,1.0,0,password_policy|risk_assessment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed_clean_en_2_20260306190351,en,"## 3.0 Access Control and Password Policy

### 3.1 Password Complexity and Management
All user passwords must meet the following minimum complexity requirements: a minimum length of 12 characters, inclusion of at least three of the four character types (uppercase letters, lowercase letters, digits, special characters), and must not contain personal information (e.g., name, birthdate) or dictionary words. Passwords for all accounts must be changed at least every 90 days. A password history policy shall prevent the reuse of the last 12 unique passwords. Accounts will be locked after 5 consecutive failed login attempts, with a lockout duration of 30 minutes.

### 3.2 Multi-Factor Authentication (MFA)
MFA is mandatory for all remote access to corporate networks, all privileged accounts, and access to administrative systems. Approved MFA methods include FIDO2 security keys, Time-based One-Time Passwords (TOTP), and biometric authentication.

### 3.3 Privileged Access Management (PAM)
A dedicated PAM solution is deployed to manage and monitor privileged access. This includes Just-In-Time (JIT) access provisioning, session recording for privileged activities, enforcement of the least privilege principle, and the use of separate administrative accounts. Privileged access configurations and usage are reviewed quarterly by the IT Security team.

### 3.4 Password Storage and Transmission
All stored passwords must be hashed using industry-standard algorithms (e.g., Argon2, bcrypt, scrypt) with a unique salt per password. Passwords shall never be stored in plaintext. All password transmissions must occur over encrypted channels using TLS 1.2 or higher. The Chief Information Security Officer (CISO) is responsible for ensuring compliance with these standards.

## 4.0 Information Risk Management

### 4.1 Risk Assessment Methodology
[Company Name] maintains a formal, documented information risk assessment methodology, approved by senior management, incorporating both qualitative and quantitative approaches. This methodology defines procedures for asset identification and valuation, comprehensive threat identification, and vulnerability assessment. A 5-point scale is utilized for both likelihood and impact, mapping combined scores to defined risk levels within a risk matrix.

### 4.2 Risk Treatment and Management
Identified risks are evaluated for treatment using one of four options: Accept, Mitigate, Transfer, or Avoid. Selection criteria are documented, and detailed treatment plans are developed for all risks designated for mitigation. A central Risk Register, maintained by the IT Security team, tracks each risk with a unique ID, description, owner, likelihood, impact, score, chosen treatment, current status, and next review date.

### 4.3 Mandatory Risk Assessment Triggers
Risk assessments are mandatory and must be conducted prior to the early stages of all new technology projects, before any major infrastructure changes, during third-party vendor selection and onboarding, and prior to the release of any new services or applications.

### 4.4 Risk Review and Integration
The CISO is responsible for ensuring an annual review of the overall risk posture, with additional reviews triggered by significant regulatory changes or critical incidents. Risk assessments are integrated into project management gates (initiation, planning, and go-live phases) and are a foundational component of the Business Continuity Management (BCM) program.",compliant,1.0,0,password_policy|risk_assessment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
